psraid,sample,state,cregion,usr,intuse,pialql1,smart3,pial1a,pial1b,pial1c,pial1d,pial1e,pial1f,pial1g,pial1h,pial1i,pial1j,pial1k,pial2,pial3a,pial3b,pial3c,pial3d,pial3e,pial3f,pial3g,pial3h,pial3i,pial4,pial5,pial6a,pial6b,pial6c,pial7a,pial7b,pial7c,pial7d,pial7e,pial7f,pial7g,pial7h,pial7i,pial7j,pial7k,pial8a,pial8b,pial8c,pial8d,pial8e,pial8f,pial8g,pial8h,pial8i,pial8j,pial8k,act87,act112,pial9a,pial9b,pial9c,pial9d,pial9e,pial9f,pial9g,pial9h,pial9i,pial9j,pial10,pial11a,pial11b,pial11c,pial11d,pial11e,pial11f,pial11g,pial11h,pial12,pial13,ql1,ql1a,qc1,hh1,employ,par,sex,age,marital,educ2,hisp,race,inc,income,reg,party,partyln,ideo,tp,weight,standwt
200219,2,36,1,U,1, ,2,2,1,2,2,2,2,2,1,2,2,2,1,3,1,1,3,3,1,1,3,3,1,1,2,2,2,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,8,2,1,1,2,1, , ,2,3,3,2,1,29,6,5,2,2,2,1,1,1, ,2,9,8,2.3918291107325
200226,2,8,4,U,1, ,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,1,1, , ,2,2,1,1,1,34,1,6,2,1,9,4,1,3,2,3,2,3.93103448275862,1.17529533889442
200230,2,17,2,U,1, ,1,1,1,3,2,2,2,2,2,2,2,2,2,3,3,1,1,3,2,1,2,3,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,3,1,1,1,2,2,2,2,2,2,1, , ,2,3,2,1,1,59,1,4,2,1,4,2,3,3,2,3,3,3.6551724137931,1.09281847300709
200242,2,42,1,S,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1, , ,1,1,3,2,1,46,6,2,2,1,1,1,3,9,9,8,3,2.86206896551724,.855697483581023
200247,2,12,3,R,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,9,2, , ,1,1,3,2,2,86,5,3,2,1,2,1,1,1, ,9,3,1.31034482758621,.391765112964806
200251,2,12,3,U,1, ,1,1,8,1,2,2,2,1,1,1,1,1,2,3,3,3,3,3,2,2,4,3,2,2,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,8,1, , ,2,2,3,2,1,75,1,8,2,1,6,3,1,1, ,3,2,3.27586206896552,.979412782412014
200257,2,26,2,R,2, ,1,3,8,3,8,3,8,8,1,2,2,8,2,3,4,8,5,8,3,8,5,5,1,2,2,2,2,2,2,2,2,2,8,3,2,2,2,2,2,2,3,2,8,2,8,2,8,8,8,2,2, , , , , , , , , , ,8,2,2,2,2,2,2,2,2,8,2, , ,2,1,3,2,1,60,1,2,2,1,2,1,3,9,1,8,3,2.86206896551724,.855697483581023
200264,2,51,3,S,1, ,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2, , ,2,2,1,2,2,27,1,8,2,1,8,4,1,1, ,2,3,4.55172413793104,1.3608682871409
200274,2,48,3,S,1, ,1,8,1,2,2,2,8,1,8,1,2,8,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,2,2,1,2,2,2,2,2,2,2,1, , ,2,2,3,2,1,50,1,3,2,1,6,3,2,1, ,2,1,7.75862068965517,2.31966185308109
200289,2,26,2,S,1, ,1,1,8,8,8,1,8,1,1,1,1,8,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,8,1,2,2,2,2,2,1,2,1,8,2,1,2,1,1,2,2,8,1,8,1,2,1,8,1,1,2,2,2,1,1,8,1,8,1,2,1,8,2,2,1,2,1, , ,2,2,9,2,1,99,1,8,1,9,99,9,2,9,9,9,2,3.55172413793104,1.06188964829934
200298,2,40,3,R,1, ,1,2,2,2,2,2,2,8,1,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,1, , ,2,3,1,2,1,24,6,6,1,1,5,2,1,1, ,3,3,2.48275862068966,.742291792985948
200301,2,20,2,R,1, ,1,8,2,2,1,2,2,1,1,2,2,1,2,3,3,3,3,3,3,3,3,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1, , ,2,2,3,2,1,33,1,2,2,1,1,1,3,3,2,2,3,4,1.19591455536625
200305,2,48,3,R,1, ,2,1,1,1,1,8,3,1,8,2,2,8,2,1,1,1,1,1,1,1,2,5,1,2,1,1,2,2,2,2,8,1,2,8,2,2,8,2,2,2,2,2,1,2,1,2,2,2,8,2,2, , , , , , , , , , ,1,1,2,8,2,2,2,2,2,8,1, , ,1,2,1,1,1,44,1,5,2,3,5,2,3,3,9,2,3,4.72413793103448,1.41241632832048
200309,2,29,2,S,1, ,2,8,2,2,2,1,2,1,1,2,1,1,2,1,3,1,3,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1, , ,2,1,1,1,1,40,3,8,2,1,5,2,1,1, ,2,1,4.82758620689655,1.44334515302823
200315,2,49,4,S,1, ,1,1,8,8,1,8,8,8,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,2,2,2,2,1,2,1,2,2,1, , ,2,5,1,1,1,39,1,4,2,5,1,1,3,3,9,3,3,8,2.3918291107325
200317,2,48,3,U,1, ,1,8,2,2,2,1,2,2,1,1,1,1,2,3,3,3,3,3,3,3,4,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2, , ,2,4,1,2,1,21,6,3,1,1,4,2,1,3,9,8,3,6.03448275862069,1.80418144128529
200320,2,38,2,R,1, ,2,8,8,2,2,2,2,8,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,8,2, , ,1,2,3,2,2,61,1,3,2,1,7,4,3,1, ,2,3,2.37931034482759,.7113629682782
200338,2,49,4,S,1, ,1,1,8,8,1,1,2,1,1,1,1,1,1,2,1,2,3,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,2,2,2,1,1,1,3,2,2,2,2,2,2,2,2,2,2, , ,2,2,2,1,2,31,1,6,2,1,6,3,1,3,1,3,3,5,1.49489319420781
200341,2,36,1,S,1, ,2,8,8,3,8,8,1,2,8,8,2,8,2,3,3,5,3,3,2,3,3,5,2,2,3,2,3,2,2,2,8,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,8,1, , ,2,6,3,2,1,56,1,3,2,1,5,2,1,3,2,3,2,4.10344827586207,1.226843380074
200346,2,13,3,R,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,8,2, , ,2,2,3,2,1,68,1,3,2,2,4,2,1,2, ,3,3,3.24137931034483,.969103174176098
200352,2,20,2,U,1, ,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,3,2,2,2,2,2,2,2,2,8,1, , ,2,2,1,2,2,30,2,5,2,1,7,4,3,3,2,4,3,8,2.3918291107325
200354,2,48,3,U,1, ,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,3,1,3,1,1,1,2,2,8,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,1,2,1,1,2,2,1,2,2,1,1,1,1,2,1,2,1,2,2,2,2,1,1, , ,2,2,3,1,2,23,1,3,2,4,3,1,3,3,9,3,3,6.72413793103448,2.01037360600361
200364,2,55,2,S,1, ,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,3,2,2,2,2,2,2,2,2,8,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,4,2,2,2,2,2,2,2,2,2,1, , ,2,1,1,2,1,53,3,4,2,1,8,4,3,4,9,2,3,6.44827586206897,1.92789674011628
200367,2,48,3,S,1, ,1,8,8,3,1,3,8,8,1,8,3,1,1,2,1,1,1,2,2,1,1,5,1,2,8,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,2,8,1,2,2,2,1,2,2,1,2,1,1,8,1,1,1,2,1,8,1,3,2,2,2,2,2,2,1,2,2,1, , ,2,2,3,1,2,27,2,3,2,3,3,1,3,1, ,3,8,8,2.3918291107325
200373,2,37,3,R,1, ,2,2,1,8,2,8,2,2,2,2,2,8,1,1,1,5,1,1,1,5,5,5,1,2,3,3,3,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,1, , ,1,3,1,1,1,48,1,3,2,1,8,4,1,1, ,2,3,3.68965517241379,1.10312808124301
200381,2,21,3,R,1, ,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,5,5,5,2,5,1,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,8,2,2,2,2,2,2,2,2,2,2, , ,1,2,3,9,2,50,1,3,2,1,5,2,1,3,1,2,8,3.44827586206897,1.03096082359159
200383,2,22,3,R,2, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1, , ,2,3,3,2,2,41,2,1,2,1,1,1,3,3,1,5,3,8,2.3918291107325
200390,2,55,2,S,9, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1, , ,2,1,2,2,1,33,6,3,1,6,1,1,3,1, ,2,4,6.79310344827586,2.03099282247544
200394,2,39,2,R,1, ,1,8,2,2,2,1,2,1,1,2,2,2,1,3,1,2,3,2,3,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,2,2,1,1,2,57,1,8,2,1,7,4,1,3,2,4,3,2.03448275862069,.60826688591904
200421,2,13,3,S,1, ,1,2,2,2,2,1,2,2,2,2,2,2,2,1,3,1,3,2,1,1,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1, , ,1,1,1,1,1,49,3,4,2,1,4,2,1,1, ,2,1,2.51724137931034,.752601401221864
200435,2,8,4,U,1, ,1,8,1,1,2,3,1,3,2,2,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,1, , ,1,2,3,2,2,70,1,6,2,1,8,4,1,1, ,2,1,1.06896551724138,.319597855313394
200438,2,12,3,R,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,1,1, , ,2,3,3,1,2,23,6,3,2,1,1,1,1,3,2,3,3,5.6551724137931,1.69077575069021
200444,2,20,2,R,1, ,1,1,2,2,1,1,2,1,1,2,1,2,2,2,3,2,3,3,2,1,1,5,2,2,2,1,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2, , ,1,2,1,1,2,30,3,8,2,1,7,4,1,3,2,3,2,2.3448275862069,.701053360042284
200445,2,48,3,U,1, ,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,3,2,3,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1, , ,2,2,1,1,2,51,3,5,2,1,6,3,1,1, ,2,3,6.68965517241379,2.00006399776769
200451,2,4,4,R,1, ,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,2,2,1,2,1,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1, , ,1,1,1,1,1,47,1,6,2,2,8,4,1,2, ,2,2,1.06896551724138,.319597855313394
200463,2,36,1,U,1, ,1,8,2,2,1,2,2,2,1,2,2,1,1,1,1,2,3,3,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,3,2,2,2,1,2,1,2,2,2,1, , ,1,3,3,1,2,27,6,3,1,1,1,1,2,2, ,3,3,8,2.3918291107325
200485,2,6,4,U,1, ,2,8,8,2,2,2,2,2,2,2,1,2,1,1,1,2,3,3,1,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2, , ,1,2,2,1,2,49,1,6,2,1,99,4,1,2, ,3,3,3.06896551724138,.917555132996519
200494,2,4,4,U,1, ,1,1,2,2,1,2,2,1,1,1,2,1,2,3,1,2,3,2,3,3,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,1,1, , ,2,4,2,1,1,18,3,3,2,2,3,1,3,2, ,3,3,2.86206896551724,.855697483581023
200517,2,8,4,S,1, ,1,1,8,2,1,1,2,1,1,1,1,1,1,3,3,1,3,3,3,3,1,3,1,1,2,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1, , ,2,1,1,2,2,24,6,6,2,1,7,4,1,3,9,3,2,3.93103448275862,1.17529533889442
200519,2,22,3,S,1, ,1,1,8,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,1, , ,1,2,1,1,1,23,1,3,2,1,5,2,3,2, ,2,3,1.89655172413793,.567028452975377
200524,2,6,4,U,1, ,1,1,1,1,9,2,2,2,9,2,9,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,8,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,1, , ,1,2,3,2,2,99,1,5,2,1,99,9,1,3,1,3,3,1.48275862068966,.443313154144385
200546,2,32,4,S,1, ,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,1, , ,2,2,1,1,1,20,6,3,2,2,1,1,3,3,2,5,2,2.48275862068966,.742291792985948
200553,2,4,4,R,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,8, , ,2,2,3,2,2,66,1,3,2,1,1,1,2,3,9,2,3,2.93103448275862,.876316700052855
200568,2,4,4,U,1, ,1,2,2,2,2,2,2,1,1,2,2,8,2,1,1,3,3,2,2,1,2,3,1,1,2,1,2,1,2,2,1,1,2,2,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,1, , ,2,4,2,2,2,25,2,5,1,1,2,1,1,1, ,3,3,8,2.3918291107325
200569,2,29,2,S,2, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,2, , ,2,2,1,2,1,50,1,3,2,1,3,1,1,3,1,8,3,6.31034482758621,1.88665830717262
200578,2,8,4,S,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,2,2, , ,1,3,3,2,1,63,1,2,1,1,4,2,1,2, ,5,2,4.6551724137931,1.39179711184865
200580,2,48,3,U,1, ,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,1,2,1,2,1,1,1,2,2,2,2,1,2,1,1,2,1,2,1,2,2,2,2,2,1, , ,1,2,3,2,1,64,1,4,1,4,2,1,1,3,9,4,1,2.3448275862069,.701053360042284
200583,2,6,4,S,1, ,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,1, , ,1,6,3,2,2,21,6,3,2,9,99,1,1,3,9,4,3,4.75862068965517,1.4227259365564
200584,2,18,2,U,1, ,1,1,1,8,8,1,8,1,1,1,1,8,1,2,2,1,3,3,2,1,2,1,2,2,1,1,2,2,2,2,2,1,2,8,8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,8,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,8, , ,1,2,1,2,1,44,2,8,2,1,7,4,1,2, ,5,2,2.6551724137931,.793839834165527
200589,2,51,3,R,1, ,1,8,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,5,1,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,3,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,3,2,2,1,2,2,2,2,2,2,1, , ,1,2,1,2,2,29,6,6,2,1,4,2,1,3,2,4,3,2.31034482758621,.690743751806368
200591,2,45,3,S,1, ,2,1,1,2,2,1,1,1,1,2,2,1,2,3,1,1,3,3,3,1,1,3,2,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1, , ,1,2,3,2,1,60,2,3,2,1,5,2,1,3,1,1,1,2.6551724137931,.793839834165527
200593,2,8,4,R,2, ,1,8,1,2,2,2,2,2,1,2,2,1,1,3,2,2,2,3,1,2,2,1,1,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,2,1,2,1,1,2,2,2,2,1,2,4,2,1,2,2,2,2,2,2,2,2, , ,1,3,2,2,1,22,6,4,1,1,6,3,2,2, ,2,3,3.48275862068966,1.04127043182751
200595,2,16,4,S,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,9, , ,1,2,3,2,1,75,1,3,2,1,3,1,1,2, ,4,3,2.82758620689655,.845387875345107
200617,2,13,3,S,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,1,1, , ,2,1,2,2,2,56,3,3,2,1,2,1,1,3,1,3,3,5.20689655172414,1.55675084362331
200619,2,37,3,U,1, ,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,1,3,1,3,3,3,3,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,2,2,1, , ,2,2,2,2,1,36,6,8,9,1,1,1,3,3,2,3,2,4.51724137931035,1.35055867890499
200624,2,37,3,S,1, ,1,8,2,2,2,8,8,8,1,1,2,1,1,1,1,2,3,2,2,1,1,2,1,2,2,1,2,2,2,2,8,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2, , ,2,5,1,1,2,49,3,4,2,1,2,1,1,1, ,2,1,5.79310344827586,1.73201418363388
200625,2,12,3,R,1, ,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,2,1,2,2,2,2,2,2,1,1, , ,1,2,1,2,1,56,1,5,2,1,8,4,1,1, ,1,1,2.3448275862069,.701053360042284
200639,2,18,2,S,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , ,8,8, , ,1,3,3,2,2,65,1,3,2,1,99,1,1,4,9,3,8,2.3448275862069,.701053360042284
200642,2,21,3,S,1, ,1,2,2,2,2,2,2,2,1,8,2,2,2,1,1,1,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,2,3,2,2,2,2,2,2,2,2,2,1, , ,2,3,3,2,1,18,6,3,2,1,99,9,3,3,1,2,3,2.93103448275862,.876316700052855
200652,2,42,1,S,1, ,1,1,1,1,1,8,1,1,2,2,1,1,2,3,3,1,3,1,3,1,1,5,1,2,2,1,2,1,1,1,1,1,2,1,1,3,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,1, , ,1,2,2,1,1,51,1,3,2,1,2,1,1,4,9,9,3,3.3448275862069,1.00003199888385
200658,2,26,2,R,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,8,2, , ,2,1,3,2,2,70,5,4,2,1,3,1,3,2, ,2,2,1.75862068965517,.525790020031713
200659,2,25,1,S,1, ,2,8,8,8,8,2,2,8,8,8,8,8,2,2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,1,3,3,2,2,53,1,8,2,1,5,2,3,3,2,4,2,4.13793103448276,1.23715298830991
200660,2,51,3,S,1, ,1,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,3,2,3,2,2,3,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,9, , ,2,1,1,1,1,43,3,4,2,1,8,4,1,4,1,3,3,8,2.3918291107325
200676,2,12,3,S,1, ,1,8,8,2,2,2,2,2,2,2,8,8,2,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,2,1,2,2,2,2,2,2,2,2, , ,1,2,3,2,2,75,3,8,2,1,3,1,1,1, ,2,1,1.13793103448276,.340217071785226
200678,2,48,3,U,1, ,1,8,2,2,2,2,2,8,2,2,1,8,2,2,2,2,3,3,3,2,2,2,1,2,1,1,1,2,2,2,1,1,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1, , ,2,2,3,2,2,56,1,4,2,1,99,4,1,2, ,3,3,3.72413793103448,1.11343768947892
200703,2,45,3,U,1, ,1,1,8,2,1,1,2,2,1,1,8,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,2,1,2,2,1,1, , ,2,2,1,2,2,24,6,8,2,1,3,1,3,3,1,3,3,4.24137931034483,1.26808181301766
200704,2,42,1,S,1, ,1,8,1,1,8,3,8,8,8,8,2,8,2,3,2,3,3,2,3,2,2,5,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2, , , , , , , , , , ,3,8,2,2,2,2,2,2,2,2,2, , ,1,2,3,1,2,40,1,6,2,1,8,4,1,1, ,3,3,5.68965517241379,1.70108535892613
200711,2,37,3,R,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1, , ,1,2,3,2,2,65,1,3,2,1,1,1,1,3,2,2,3,2.06896551724138,.618576494154956
200712,2,26,2,U,1, ,2,1,2,2,2,1,2,2,1,2,2,1,1,1,4,1,3,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,1,2,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1, , ,2,6,1,2,2,22,6,5,2,1,1,1,1,3,9,8,3,5.48275862068966,1.63922770951063
